lat,lon,DATA_FUTURA,TEMP_MAX,TEMP_MIN,UMID_MAX,VEL_VENTO,VOL_PRECIPITACAO,TP_NUVEM,PRESSAO_ATM
-23.6008049989999,-46.575363,2024-09-24 03:00:00+00:00,32.8,15.9,77.1,8.2,0.0,0.0,1015.8
-23.6008049989999,-46.575363,2024-09-24 04:00:00+00:00,32.8,15.9,81.4,8.2,0.0,0.0,1015.7
-23.6008049989999,-46.575363,2024-09-24 05:00:00+00:00,32.8,15.9,83.1,7.3,0.0,0.0,1015.3
-23.6008049989999,-46.575363,2024-09-24 06:00:00+00:00,32.8,15.9,87.0,7.3,0.0,0.0,1015.1
-23.6008049989999,-46.575363,2024-09-24 07:00:00+00:00,32.8,15.9,86.6,7.1,0.0,0.0,1014.8
-23.6008049989999,-46.575363,2024-09-24 08:00:00+00:00,32.8,15.9,87.8,7.1,0.0,0.0,1015.2
-23.6008049989999,-46.575363,2024-09-24 09:00:00+00:00,32.7,15.9,89.9,6.4,0.0,0.0,1016.1
-23.6008049989999,-46.575363,2024-09-24 10:00:00+00:00,32.7,16.5,82.0,6.1,0.0,0.0,1016.8
-23.6008049989999,-46.575363,2024-09-24 11:00:00+00:00,32.7,16.5,71.2,5.8,0.0,0.0,1017.3
-23.6008049989999,-46.575363,2024-09-24 12:00:00+00:00,32.7,16.5,58.5,5.5,0.0,0.0,1016.8
-23.6008049989999,-46.575363,2024-09-24 13:00:00+00:00,32.7,16.5,48.4,5.7,0.0,0.0,1016.0
-23.6008049989999,-46.575363,2024-09-24 14:00:00+00:00,32.7,16.5,38.4,5.7,0.0,0.0,1015.2
-23.6008049989999,-46.575363,2024-09-24 15:00:00+00:00,32.7,16.5,31.3,3.8,0.0,0.0,1014.2
-23.6008049989999,-46.575363,2024-09-24 16:00:00+00:00,33.8,16.5,26.4,1.9,0.0,0.0,1013.2
-23.6008049989999,-46.575363,2024-09-24 17:00:00+00:00,34.0,16.5,25.8,3.8,0.0,0.0,1012.4
-23.6008049989999,-46.575363,2024-09-24 18:00:00+00:00,34.1,16.5,42.0,5.1,0.0,2.0,1012.0
-23.6008049989999,-46.575363,2024-09-24 19:00:00+00:00,34.1,16.5,55.0,6.9,0.0,1.0,1012.0
-23.6008049989999,-46.575363,2024-09-24 20:00:00+00:00,34.1,16.5,60.3,7.1,0.0,0.0,1012.1
-23.6008049989999,-46.575363,2024-09-24 21:00:00+00:00,34.1,16.5,73.6,7.4,0.0,0.0,1012.9
-23.6008049989999,-46.575363,2024-09-24 22:00:00+00:00,34.1,16.5,76.8,7.4,0.0,0.0,1013.3
-23.6008049989999,-46.575363,2024-09-24 23:00:00+00:00,34.1,16.5,79.5,4.9,0.0,0.0,1013.6
-23.6008049989999,-46.575363,2024-09-25 00:00:00+00:00,34.1,16.5,79.8,4.7,0.0,0.0,1014.4
-23.6008049989999,-46.575363,2024-09-25 01:00:00+00:00,34.1,16.5,78.6,5.5,0.0,0.0,1014.5
-23.6008049989999,-46.575363,2024-09-25 02:00:00+00:00,34.1,16.5,73.6,8.2,0.0,0.0,1014.4
-23.6008049989999,-46.575363,2024-09-25 03:00:00+00:00,34.1,16.5,69.8,10.3,0.0,0.0,1014.2
-23.6008049989999,-46.575363,2024-09-25 04:00:00+00:00,34.1,16.5,66.7,10.3,0.0,0.0,1013.7
-23.6008049989999,-46.575363,2024-09-25 05:00:00+00:00,34.1,16.5,67.7,10.1,0.0,0.0,1013.2
-23.6008049989999,-46.575363,2024-09-25 06:00:00+00:00,34.1,16.5,70.5,10.1,0.0,4.0,1012.8
-23.6008049989999,-46.575363,2024-09-25 07:00:00+00:00,34.1,16.5,75.4,8.9,0.0,3.0,1012.6
-23.6008049989999,-46.575363,2024-09-25 08:00:00+00:00,34.1,16.5,81.1,8.0,0.0,0.0,1012.7
-23.6008049989999,-46.575363,2024-09-25 09:00:00+00:00,34.1,16.5,84.4,7.1,0.0,0.0,1013.4
-23.6008049989999,-46.575363,2024-09-25 10:00:00+00:00,34.1,16.6,71.7,7.0,0.0,0.0,1014.0
-23.6008049989999,-46.575363,2024-09-25 11:00:00+00:00,34.1,16.6,55.1,7.0,0.0,0.0,1014.6
-23.6008049989999,-46.575363,2024-09-25 12:00:00+00:00,34.1,16.6,44.3,6.4,0.0,0.0,1014.4
-23.6008049989999,-46.575363,2024-09-25 13:00:00+00:00,34.1,16.6,35.2,6.9,0.0,0.0,1013.8
-23.6008049989999,-46.575363,2024-09-25 14:00:00+00:00,34.1,16.6,26.3,6.9,0.0,0.0,1012.9
-23.6008049989999,-46.575363,2024-09-25 15:00:00+00:00,34.6,16.6,22.7,5.5,0.0,0.0,1012.1
-23.6008049989999,-46.575363,2024-09-25 16:00:00+00:00,35.4,16.6,20.5,4.4,0.0,0.0,1011.1
-23.6008049989999,-46.575363,2024-09-25 17:00:00+00:00,35.9,16.6,18.9,4.3,0.0,0.0,1010.0
-23.6008049989999,-46.575363,2024-09-25 18:00:00+00:00,36.0,16.5,18.0,4.0,0.0,0.0,1008.9
-23.6008049989999,-46.575363,2024-09-25 19:00:00+00:00,36.1,16.5,27.3,4.2,0.0,0.0,1009.3
-23.6008049989999,-46.575363,2024-09-25 20:00:00+00:00,36.1,16.5,40.7,5.5,0.0,0.0,1009.6
-23.6008049989999,-46.575363,2024-09-25 21:00:00+00:00,36.1,16.5,59.9,6.9,0.0,0.0,1010.0
-23.6008049989999,-46.575363,2024-09-25 22:00:00+00:00,36.1,16.5,58.9,6.9,0.0,0.0,1010.5
-23.6008049989999,-46.575363,2024-09-25 23:00:00+00:00,36.1,16.5,58.2,6.1,0.0,0.0,1011.2
-23.6008049989999,-46.575363,2024-09-26 00:00:00+00:00,36.1,16.5,57.9,5.3,0.0,0.0,1011.9
-23.6008049989999,-46.575363,2024-09-26 01:00:00+00:00,36.1,16.5,60.4,5.2,0.0,0.0,1011.8
-23.6008049989999,-46.575363,2024-09-26 02:00:00+00:00,36.1,16.5,63.1,5.9,0.0,0.0,1011.8
-23.6008049989999,-46.575363,2024-09-26 03:00:00+00:00,36.1,16.5,65.8,6.6,0.0,0.0,1011.8
-23.6008049989999,-46.575363,2024-09-26 04:00:00+00:00,36.1,16.5,67.5,6.6,0.0,0.0,1011.3
-23.6008049989999,-46.575363,2024-09-26 05:00:00+00:00,36.1,16.5,69.7,6.5,0.0,0.0,1010.9
-23.6008049989999,-46.575363,2024-09-26 06:00:00+00:00,36.1,16.5,72.4,6.5,0.0,0.0,1010.4
-23.6008049989999,-46.575363,2024-09-26 07:00:00+00:00,36.1,16.5,73.9,6.5,0.0,0.0,1010.6
-23.6008049989999,-46.575363,2024-09-26 08:00:00+00:00,36.1,16.5,75.4,6.2,0.0,0.0,1010.8
-23.6008049989999,-46.575363,2024-09-26 09:00:00+00:00,36.1,16.5,77.0,6.2,0.0,0.0,1011.1
-23.6008049989999,-46.575363,2024-09-26 10:00:00+00:00,36.1,17.3,60.5,6.2,0.0,0.0,1011.7
-23.6008049989999,-46.575363,2024-09-26 11:00:00+00:00,36.1,17.3,48.3,5.9,0.0,0.0,1012.4
-23.6008049989999,-46.575363,2024-09-26 12:00:00+00:00,36.1,17.3,38.7,5.8,0.0,0.0,1013.1
-23.6008049989999,-46.575363,2024-09-26 13:00:00+00:00,36.1,17.3,30.1,5.3,0.0,0.0,1012.0
-23.6008049989999,-46.575363,2024-09-26 14:00:00+00:00,36.1,17.3,23.4,5.3,0.0,0.0,1011.0
-23.6008049989999,-46.575363,2024-09-26 15:00:00+00:00,36.3,17.3,18.2,4.9,0.0,0.0,1010.0
-23.6008049989999,-46.575363,2024-09-26 16:00:00+00:00,36.5,17.3,17.0,4.4,0.0,0.0,1009.0
-23.6008049989999,-46.575363,2024-09-26 17:00:00+00:00,36.9,17.3,15.7,4.2,0.0,1.0,1008.0
-23.6008049989999,-46.575363,2024-09-26 18:00:00+00:00,37.2,17.3,14.6,3.9,0.0,1.0,1007.0
-23.6008049989999,-46.575363,2024-09-26 19:00:00+00:00,37.3,17.3,20.6,3.7,0.0,1.0,1007.1
-23.6008049989999,-46.575363,2024-09-26 20:00:00+00:00,37.3,17.3,28.6,3.4,0.0,2.0,1007.3
-23.6008049989999,-46.575363,2024-09-26 21:00:00+00:00,37.3,17.3,39.0,3.0,0.0,2.0,1007.5
-23.6008049989999,-46.575363,2024-09-26 22:00:00+00:00,37.3,17.3,43.9,3.2,0.0,4.0,1008.0
-23.6008049989999,-46.575363,2024-09-26 23:00:00+00:00,37.3,17.3,49.1,3.9,0.0,5.0,1008.5
-23.6008049989999,-46.575363,2024-09-27 00:00:00+00:00,37.3,17.3,54.9,4.7,0.0,7.0,1009.1
-23.6008049989999,-46.575363,2024-09-27 01:00:00+00:00,37.3,17.3,53.3,5.8,0.0,4.0,1009.0
-23.6008049989999,-46.575363,2024-09-27 02:00:00+00:00,37.3,17.3,51.7,7.0,0.0,2.0,1008.8
-23.6008049989999,-46.575363,2024-09-27 03:00:00+00:00,37.3,17.3,50.0,8.1,0.0,0.0,1008.7
-23.6008049989999,-46.575363,2024-09-27 04:00:00+00:00,37.3,17.3,52.1,8.1,0.0,0.0,1008.3
-23.6008049989999,-46.575363,2024-09-27 05:00:00+00:00,37.3,17.3,54.3,7.2,0.0,0.0,1007.9
-23.6008049989999,-46.575363,2024-09-27 06:00:00+00:00,37.3,17.3,56.5,6.4,0.0,0.0,1007.6
-23.6008049989999,-46.575363,2024-09-27 07:00:00+00:00,37.3,17.3,52.9,5.6,0.0,0.0,1008.4
-23.6008049989999,-46.575363,2024-09-27 08:00:00+00:00,37.3,17.3,49.6,5.8,0.0,0.0,1009.3
-23.6008049989999,-46.575363,2024-09-27 09:00:00+00:00,37.2,17.3,46.5,5.8,0.0,0.0,1010.2
-23.6008049989999,-46.575363,2024-09-27 10:00:00+00:00,37.2,20.6,47.3,6.1,0.0,0.0,1010.9
-23.6008049989999,-46.575363,2024-09-27 11:00:00+00:00,37.2,20.8,48.6,6.4,0.0,0.0,1011.7
-23.6008049989999,-46.575363,2024-09-27 12:00:00+00:00,37.2,20.8,50.0,6.4,0.0,0.0,1012.4
-23.6008049989999,-46.575363,2024-09-27 13:00:00+00:00,37.2,20.8,54.5,6.6,0.0,2.0,1013.1
-23.6008049989999,-46.575363,2024-09-27 14:00:00+00:00,37.2,20.8,59.5,7.8,0.0,4.0,1013.8
-23.6008049989999,-46.575363,2024-09-27 15:00:00+00:00,37.2,20.8,65.1,9.7,0.0,6.0,1014.5
-23.6008049989999,-46.575363,2024-09-27 16:00:00+00:00,37.2,20.8,66.4,10.4,0.0,7.0,1014.5
-23.6008049989999,-46.575363,2024-09-27 17:00:00+00:00,37.2,20.3,67.8,11.0,0.0,7.0,1014.5
-23.6008049989999,-46.575363,2024-09-27 18:00:00+00:00,37.2,19.7,69.2,11.3,0.0,8.0,1014.4
-23.6008049989999,-46.575363,2024-09-27 19:00:00+00:00,35.3,18.7,71.9,11.3,0.0,8.0,1015.1
-23.6008049989999,-46.575363,2024-09-27 20:00:00+00:00,33.4,17.7,74.7,10.4,0.0,8.0,1015.8
-23.6008049989999,-46.575363,2024-09-27 21:00:00+00:00,31.5,16.8,77.6,9.9,0.0,8.0,1016.5
-23.6008049989999,-46.575363,2024-09-27 22:00:00+00:00,29.6,16.6,79.4,9.7,0.0,7.0,1017.2
-23.6008049989999,-46.575363,2024-09-27 23:00:00+00:00,27.8,16.3,81.1,9.8,0.0,7.0,1018.0
-23.6008049989999,-46.575363,2024-09-28 00:00:00+00:00,27.8,15.9,83.0,9.9,0.0,7.0,1018.8
-23.6008049989999,-46.575363,2024-09-28 01:00:00+00:00,27.8,15.9,83.3,9.9,0.0,7.0,1018.9
-23.6008049989999,-46.575363,2024-09-28 02:00:00+00:00,27.8,15.9,83.6,9.9,0.0,8.0,1018.9
-23.6008049989999,-46.575363,2024-09-28 03:00:00+00:00,27.8,15.9,83.9,9.8,0.0,8.0,1019.0
-23.6008049989999,-46.575363,2024-09-28 04:00:00+00:00,27.8,15.8,86.7,9.8,0.0,8.0,1018.7
-23.6008049989999,-46.575363,2024-09-28 05:00:00+00:00,27.8,15.5,89.6,9.4,0.0,8.0,1018.4
-23.6008049989999,-46.575363,2024-09-28 06:00:00+00:00,27.8,15.3,92.5,9.3,0.0,8.0,1018.1
-23.6008049989999,-46.575363,2024-09-28 07:00:00+00:00,27.8,15.2,91.6,9.2,0.0,8.0,1018.4
-23.6008049989999,-46.575363,2024-09-28 08:00:00+00:00,27.8,15.2,90.6,9.0,0.0,8.0,1018.7
-23.6008049989999,-46.575363,2024-09-28 09:00:00+00:00,27.8,15.2,89.6,8.9,0.0,7.0,1019.0
-23.6008049989999,-46.575363,2024-09-28 10:00:00+00:00,27.8,15.1,82.1,8.8,0.0,7.0,1019.6
-23.6008049989999,-46.575363,2024-09-28 11:00:00+00:00,27.8,15.1,75.1,8.5,0.0,8.0,1020.2
-23.6008049989999,-46.575363,2024-09-28 12:00:00+00:00,27.8,15.1,68.8,8.1,0.0,8.0,1020.8
-23.6008049989999,-46.575363,2024-09-28 13:00:00+00:00,26.2,15.2,66.0,7.8,0.0,8.0,1020.5
-23.6008049989999,-46.575363,2024-09-28 14:00:00+00:00,24.5,15.3,63.2,7.3,0.0,8.0,1020.3
-23.6008049989999,-46.575363,2024-09-28 15:00:00+00:00,22.8,15.3,60.6,6.8,0.0,8.0,1020.0
-23.6008049989999,-46.575363,2024-09-28 16:00:00+00:00,22.1,15.3,61.2,6.9,0.0,8.0,1019.3
-23.6008049989999,-46.575363,2024-09-28 17:00:00+00:00,21.7,15.3,61.8,7.5,0.0,8.0,1018.7
-23.6008049989999,-46.575363,2024-09-28 18:00:00+00:00,21.7,15.3,62.3,8.1,0.0,8.0,1018.0
-23.6008049989999,-46.575363,2024-09-28 19:00:00+00:00,21.7,15.3,68.3,8.8,0.0,8.0,1018.4
-23.6008049989999,-46.575363,2024-09-28 20:00:00+00:00,21.7,15.3,74.9,9.5,0.0,8.0,1018.7
-23.6008049989999,-46.575363,2024-09-28 21:00:00+00:00,21.7,15.3,82.3,10.1,0.0,8.0,1019.1
-23.6008049989999,-46.575363,2024-09-28 22:00:00+00:00,21.7,15.3,83.1,10.1,0.0,8.0,1019.7
-23.6008049989999,-46.575363,2024-09-28 23:00:00+00:00,21.7,15.3,84.0,10.1,0.0,7.0,1020.3
-23.6008049989999,-46.575363,2024-09-29 00:00:00+00:00,21.7,15.1,84.8,10.0,0.0,7.0,1021.0
-23.6008049989999,-46.575363,2024-09-29 01:00:00+00:00,21.7,15.1,85.5,9.9,0.0,7.0,1021.0
-23.6008049989999,-46.575363,2024-09-29 02:00:00+00:00,21.7,15.1,86.1,9.6,0.0,8.0,1021.0
-23.6008049989999,-46.575363,2024-09-29 03:00:00+00:00,21.7,15.1,86.7,9.2,0.0,8.0,1021.0
-23.6008049989999,-46.575363,2024-09-29 04:00:00+00:00,21.7,15.1,87.6,9.1,0.0,7.0,1020.4
-23.6008049989999,-46.575363,2024-09-29 05:00:00+00:00,21.7,15.0,88.5,8.6,0.0,6.0,1019.7
-23.6008049989999,-46.575363,2024-09-29 06:00:00+00:00,21.7,14.8,89.5,8.3,0.0,5.0,1019.1
-23.6008049989999,-46.575363,2024-09-29 07:00:00+00:00,21.7,14.8,89.0,8.2,0.0,6.0,1019.3
-23.6008049989999,-46.575363,2024-09-29 08:00:00+00:00,21.7,14.8,88.6,8.3,0.0,6.0,1019.6
-23.6008049989999,-46.575363,2024-09-29 09:00:00+00:00,21.7,14.8,88.1,8.4,0.0,7.0,1019.9
-23.6008049989999,-46.575363,2024-09-29 10:00:00+00:00,21.7,14.8,79.6,8.4,0.0,6.0,1020.1
-23.6008049989999,-46.575363,2024-09-29 11:00:00+00:00,21.7,14.8,72.0,7.7,0.0,4.0,1020.4
-23.6008049989999,-46.575363,2024-09-29 12:00:00+00:00,21.7,14.8,65.2,7.0,0.0,2.0,1020.6
-23.6008049989999,-46.575363,2024-09-29 13:00:00+00:00,21.7,14.8,65.5,6.7,0.0,2.0,1020.1
-23.6008049989999,-46.575363,2024-09-29 14:00:00+00:00,21.7,14.8,65.7,7.0,0.0,2.0,1019.6
-23.6008049989999,-46.575363,2024-09-29 15:00:00+00:00,21.9,14.8,66.0,7.3,0.0,2.0,1019.0
