lat,lon,DATA_FUTURA,TEMP_MAX,TEMP_MIN,UMID_MAX,VEL_VENTO,VOL_PRECIPITACAO,TP_NUVEM,PRESSAO_ATM
-23.9046169989999,-46.609251,2024-09-24 03:00:00+00:00,28.4,15.9,70.9,4.7,0.0,0.0,1015.8
-23.9046169989999,-46.609251,2024-09-24 04:00:00+00:00,28.4,15.9,72.3,3.9,0.0,0.0,1015.1
-23.9046169989999,-46.609251,2024-09-24 05:00:00+00:00,28.4,15.9,74.7,4.0,0.0,0.0,1014.8
-23.9046169989999,-46.609251,2024-09-24 06:00:00+00:00,28.4,15.9,75.4,4.7,0.0,0.0,1014.5
-23.9046169989999,-46.609251,2024-09-24 07:00:00+00:00,28.4,15.9,80.1,5.3,0.0,0.0,1014.4
-23.9046169989999,-46.609251,2024-09-24 08:00:00+00:00,28.4,15.9,78.2,5.3,0.0,0.0,1015.2
-23.9046169989999,-46.609251,2024-09-24 09:00:00+00:00,28.4,15.4,86.0,4.5,0.0,1.0,1016.3
-23.9046169989999,-46.609251,2024-09-24 10:00:00+00:00,28.4,15.4,82.4,4.7,0.0,1.0,1016.7
-23.9046169989999,-46.609251,2024-09-24 11:00:00+00:00,28.4,15.4,76.8,5.9,0.0,1.0,1017.1
-23.9046169989999,-46.609251,2024-09-24 12:00:00+00:00,28.4,15.4,71.4,5.9,0.0,0.0,1016.7
-23.9046169989999,-46.609251,2024-09-24 13:00:00+00:00,28.4,15.4,67.6,5.6,0.0,0.0,1016.3
-23.9046169989999,-46.609251,2024-09-24 14:00:00+00:00,28.4,15.4,67.9,4.7,0.0,0.0,1016.0
-23.9046169989999,-46.609251,2024-09-24 15:00:00+00:00,28.4,15.4,72.3,4.3,0.0,0.0,1015.6
-23.9046169989999,-46.609251,2024-09-24 16:00:00+00:00,27.5,15.5,77.9,3.0,0.0,1.0,1015.0
-23.9046169989999,-46.609251,2024-09-24 17:00:00+00:00,26.8,15.5,83.3,3.1,0.0,5.0,1014.4
-23.9046169989999,-46.609251,2024-09-24 18:00:00+00:00,26.8,15.5,82.5,3.1,0.0,2.0,1013.7
-23.9046169989999,-46.609251,2024-09-24 19:00:00+00:00,26.8,15.5,83.1,3.4,0.0,1.0,1013.5
